************* Module cosmo


Report
======
231 statements analysed.

Statistics by type
------------------

+---------+-------+-----------+-----------+------------+---------+
|type     |number |old number |difference |%documented |%badname |
+=========+=======+===========+===========+============+=========+
|module   |1      |1          |=          |0.00        |0.00     |
+---------+-------+-----------+-----------+------------+---------+
|class    |0      |NC         |NC         |0           |0        |
+---------+-------+-----------+-----------+------------+---------+
|method   |0      |NC         |NC         |0           |0        |
+---------+-------+-----------+-----------+------------+---------+
|function |14     |14         |=          |35.71       |14.29    |
+---------+-------+-----------+-----------+------------+---------+



294 lines have been analyzed

Raw metrics
-----------

+----------+-------+------+---------+-----------+
|type      |number |%     |previous |difference |
+==========+=======+======+=========+===========+
|code      |242    |82.31 |242      |=          |
+----------+-------+------+---------+-----------+
|docstring |8      |2.72  |8        |=          |
+----------+-------+------+---------+-----------+
|comment   |3      |1.02  |3        |=          |
+----------+-------+------+---------+-----------+
|empty     |41     |13.95 |41       |=          |
+----------+-------+------+---------+-----------+



Duplication
-----------

+-------------------------+------+---------+-----------+
|                         |now   |previous |difference |
+=========================+======+=========+===========+
|nb duplicated lines      |0     |0        |0          |
+-------------------------+------+---------+-----------+
|percent duplicated lines |0.000 |0.000    |=          |
+-------------------------+------+---------+-----------+



Messages by category
--------------------

+-----------+-------+---------+-----------+
|type       |number |previous |difference |
+===========+=======+=========+===========+
|convention |65     |65       |65         |
+-----------+-------+---------+-----------+
|refactor   |1      |1        |1          |
+-----------+-------+---------+-----------+
|warning    |201    |201      |201        |
+-----------+-------+---------+-----------+
|error      |1      |1        |1          |
+-----------+-------+---------+-----------+



Messages
--------

+------------------------------+------------+
|message id                    |occurrences |
+==============================+============+
|bad-indentation               |154         |
+------------------------------+------------+
|invalid-name                  |18          |
+------------------------------+------------+
|trailing-whitespace           |17          |
+------------------------------+------------+
|bare-except                   |10          |
+------------------------------+------------+
|wrong-import-order            |9           |
+------------------------------+------------+
|redefined-outer-name          |9           |
+------------------------------+------------+
|missing-function-docstring    |9           |
+------------------------------+------------+
|consider-using-f-string       |8           |
+------------------------------+------------+
|unused-argument               |6           |
+------------------------------+------------+
|pointless-string-statement    |5           |
+------------------------------+------------+
|global-variable-undefined     |4           |
+------------------------------+------------+
|unused-import                 |3           |
+------------------------------+------------+
|wildcard-import               |2           |
+------------------------------+------------+
|unused-wildcard-import        |2           |
+------------------------------+------------+
|unused-variable               |2           |
+------------------------------+------------+
|broad-exception-caught        |2           |
+------------------------------+------------+
|unspecified-encoding          |1           |
+------------------------------+------------+
|trailing-newlines             |1           |
+------------------------------+------------+
|redefined-argument-from-local |1           |
+------------------------------+------------+
|protected-access              |1           |
+------------------------------+------------+
|multiple-imports              |1           |
+------------------------------+------------+
|missing-module-docstring      |1           |
+------------------------------+------------+
|line-too-long                 |1           |
+------------------------------+------------+
|import-error                  |1           |
+------------------------------+------------+




------------------------------------------------------------------
Your code has been rated at 0.00/10 (previous run: 0.00/10, +0.00)

